"","from","from.lat","from.lon","to","to.lat","to.lon","percent"
"1","ABE",40.652099609375,-75.440803527832,"ATL",33.6366996765137,-84.4281005859375,14.1176470588235
"3","ABE",40.652099609375,-75.440803527832,"CLT",35.2140007019043,-80.9430999755859,13.2075471698113
"5","ABE",40.652099609375,-75.440803527832,"DTW",42.2123985290527,-83.353401184082,4.93827160493827
"6","ABE",40.652099609375,-75.440803527832,"ORD",41.97859955,-87.90480042,21.3740458015267
"7","ABI",32.4113006592,-99.6819000244,"DFW",32.896800994873,-97.0380020141602,5.19480519480519
"8","ABQ",35.0401992797852,-106.609001159668,"AMA",35.2193984985352,-101.706001281738,26.6666666666667
"9","ABQ",35.0401992797852,-106.609001159668,"ATL",33.6366996765137,-84.4281005859375,10.9756097560976
"11","ABQ",35.0401992797852,-106.609001159668,"BWI",39.17539978,-76.66829681,13.3333333333333
"12","ABQ",35.0401992797852,-106.609001159668,"CVG",39.0488014221,-84.6678009033,3.84615384615385
"13","ABQ",35.0401992797852,-106.609001159668,"DAL",32.8470993041992,-96.8517990112305,12.2529644268775
"14","ABQ",35.0401992797852,-106.609001159668,"DEN",39.861698150635,-104.672996521,4.7029702970297
"15","ABQ",35.0401992797852,-106.609001159668,"DFW",32.896800994873,-97.0380020141602,6.77966101694915
"16","ABQ",35.0401992797852,-106.609001159668,"ELP",31.80719948,-106.3779984,5.35714285714286
"18","ABQ",35.0401992797852,-106.609001159668,"HOU",29.64539909,-95.27890015,1.21951219512195
"19","ABQ",35.0401992797852,-106.609001159668,"IAD",38.94449997,-77.45580292,6.66666666666667
"20","ABQ",35.0401992797852,-106.609001159668,"IAH",29.9843997955322,-95.3414001464844,5.35714285714286
"21","ABQ",35.0401992797852,-106.609001159668,"LAS",36.08010101,-115.1520004,9.27835051546392
"22","ABQ",35.0401992797852,-106.609001159668,"LAX",33.94250107,-118.4079971,18.5185185185185
"23","ABQ",35.0401992797852,-106.609001159668,"LBB",33.6636009216309,-101.822998046875,13.3333333333333
"24","ABQ",35.0401992797852,-106.609001159668,"MAF",31.9424991607666,-102.202003479004,26.6666666666667
"25","ABQ",35.0401992797852,-106.609001159668,"MCI",39.2976,-94.713898,7.27272727272727
"27","ABQ",35.0401992797852,-106.609001159668,"MDW",41.7859992980957,-87.7524032592773,5
"28","ABQ",35.0401992797852,-106.609001159668,"MSP",44.8819999695,-93.2218017578,1.66666666666667
"29","ABQ",35.0401992797852,-106.609001159668,"OAK",37.7212982177734,-122.221000671387,9.30232558139535
"31","ABQ",35.0401992797852,-106.609001159668,"ORD",41.97859955,-87.90480042,10.7692307692308
"32","ABQ",35.0401992797852,-106.609001159668,"PDX",45.58869934,-122.5979996,6.66666666666667
"33","ABQ",35.0401992797852,-106.609001159668,"PHX",33.4342994689941,-112.012001037598,5.83941605839416
"34","ABQ",35.0401992797852,-106.609001159668,"SAN",32.7336006165,-117.190002441,7.14285714285714
"36","ABQ",35.0401992797852,-106.609001159668,"SEA",47.4490013122559,-122.30899810791,6.66666666666667
"37","ABQ",35.0401992797852,-106.609001159668,"SFO",37.6189994812012,-122.375,1.96078431372549
"38","ABQ",35.0401992797852,-106.609001159668,"SLC",40.7883987426758,-111.977996826172,3.33333333333333
"40","ABQ",35.0401992797852,-106.609001159668,"STL",38.7486991882324,-90.370002746582,3.33333333333333
"41","ABQ",35.0401992797852,-106.609001159668,"TPA",27.9755001068115,-82.533203125,10
"42","ABQ",35.0401992797852,-106.609001159668,"TUS",32.1161003112793,-110.94100189209,8.92857142857143
"43","ABY",31.5354995727539,-84.1945037841797,"ATL",33.6366996765137,-84.4281005859375,11.6279069767442
"44","ACK",41.25310135,-70.06020355,"EWR",40.6925010681152,-74.168701171875,16.6666666666667
"45","ACK",41.25310135,-70.06020355,"JFK",40.63980103,-73.77890015,20
"46","ACT",31.6112995147705,-97.2304992675781,"DFW",32.896800994873,-97.0380020141602,8.33333333333333
"47","ACV",40.978099822998,-124.109001159668,"CEC",41.78020096,-124.2369995,20
"48","ACV",40.978099822998,-124.109001159668,"SFO",37.6189994812012,-122.375,33.5227272727273
"49","ACV",40.978099822998,-124.109001159668,"SLC",40.7883987426758,-111.977996826172,3.63636363636364
"50","ACV",40.978099822998,-124.109001159668,"SMF",38.6954002380371,-121.591003417969,1.92307692307692
"51","ADK",51.8779983520508,-176.64599609375,"ANC",61.1744003295898,-149.996002197266,75
"52","ADQ",57.75,-152.4940033,"ANC",61.1744003295898,-149.996002197266,21.6666666666667
"53","AEX",31.3274002075195,-92.5497970581055,"ATL",33.6366996765137,-84.4281005859375,8.33333333333333
"54","AEX",31.3274002075195,-92.5497970581055,"DFW",32.896800994873,-97.0380020141602,6.66666666666667
"55","AEX",31.3274002075195,-92.5497970581055,"IAH",29.9843997955322,-95.3414001464844,3.84615384615385
"56","AGS",33.3698997497559,-81.9645004272461,"ATL",33.6366996765137,-84.4281005859375,13.302752293578
"57","AKN",58.67679977,-156.6490021,"DLG",59.04470062,-158.5050049,46.1538461538462
"58","ALB",42.7482986450195,-73.8016967773438,"ATL",33.6366996765137,-84.4281005859375,16.2790697674419
"59","ALB",42.7482986450195,-73.8016967773438,"BOS",42.36429977,-71.00520325,100
"60","ALB",42.7482986450195,-73.8016967773438,"BWI",39.17539978,-76.66829681,8.7719298245614
"61","ALB",42.7482986450195,-73.8016967773438,"CLE",41.4117012024,-81.8498001099,11.6883116883117
"62","ALB",42.7482986450195,-73.8016967773438,"CLT",35.2140007019043,-80.9430999755859,8.33333333333333
"63","ALB",42.7482986450195,-73.8016967773438,"CVG",39.0488014221,-84.6678009033,5.12820512820513
"64","ALB",42.7482986450195,-73.8016967773438,"DCA",38.8521,-77.037697,4
"65","ALB",42.7482986450195,-73.8016967773438,"DTW",42.2123985290527,-83.353401184082,6.66666666666667
"66","ALB",42.7482986450195,-73.8016967773438,"EWR",40.6925010681152,-74.168701171875,17.3076923076923
"67","ALB",42.7482986450195,-73.8016967773438,"JFK",40.63980103,-73.77890015,20
